127.0.0.1 - - [22/Sep/2022:08:47:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:47:06 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:47:06 +0900] "GET /mini_project/css/ryuint.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:47:06 +0900] "GET /mini_project/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:47:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:48:58 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:48:59 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:12 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:14 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:15 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:16 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:16 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:16 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:17 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:18 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:18 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:19 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:19 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:20 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:21 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:21 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:22 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:22 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:23 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:08:49:26 +0900] "GET /mini_project/html/ryuint.html HTTP/1.1" 304 -
