127.0.0.1 - - [20/Sep/2022:10:18:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:04 +0900] "GET /day39_js/html/ex01_basic.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:04 +0900] "GET /day39_js/css/main.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:04 +0900] "GET /day39_js/js/main.js HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:05 +0900] "GET /day39_js/html/ex01_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:05 +0900] "GET /day39_js/css/main.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:06 +0900] "GET /day39_js/css/main.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:08 +0900] "GET /day39_js/html/ex01_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:08 +0900] "GET /day39_js/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:10:18:08 +0900] "GET /day39_js/css/main.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [20/Sep/2022:12:10:06 +0900] "GET /day39_js/html/ex03_control.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [20/Sep/2022:12:10:06 +0900] "GET /day39_js/js/main3.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [20/Sep/2022:12:10:06 +0900] "GET /day39_js/css/main.css HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Sep/2022:12:10:09 +0900] "GET /day39_js/html/ex02_operator.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [20/Sep/2022:12:10:09 +0900] "GET /day39_js/js/main2.js HTTP/1.1" 200 1374
