0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:46 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:46 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:54 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:54 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:47:56 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:48:25 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:48:25 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:09:10 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:09:10 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:09:10 +0900] "GET /day38_css_js/images/bg.jpg HTTP/1.1" 200 92000
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:09:46 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:10:04 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:10:04 +0900] "GET /day38_css_js/images/logo_overwatch.png HTTP/1.1" 200 50018
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:10:34 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:47 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:47 +0900] "GET /day38_css_js/images/logo_overwatch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:47 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:47 +0900] "GET /day38_css_js/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:48 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:48 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:25 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:25 +0900] "GET /day38_css_js/images/logo_overwatch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:25 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:25 +0900] "GET /day38_css_js/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:25 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:44 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:45 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:49 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:19:49 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
